session	policy	kind	cap_min	min_hold	target	arm	additional	drawdown	split	n	triggered	armed	mean_net_model_pct	median_net_model_pct	p10_net_model_pct	negative_count	actual_profit_mean_pct	date_first	date_last
PREMARKET	threshold:min_hold=5,target=1.5	threshold	10	5	1.5				holdout	18	8	0	1.4295	0.9879	-0.7717	3	0.88	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=5,target=1.5	threshold	10	5	1.5				all	31	11	0	1.095	0.6294	-0.91	6	1.1316	2026-07-01	2026-09-23
PREMARKET	threshold:min_hold=5,target=2	threshold	10	5	2.0				train	13	2	0	0.4944	0.2481	-1.1123	3	1.48	2026-07-01	2026-07-23
PREMARKET	threshold:min_hold=5,target=2	threshold	10	5	2.0				holdout	18	7	0	1.36	0.411	-0.7717	4	0.88	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=5,target=2	threshold	10	5	2.0				all	31	9	0	0.997	0.2481	-0.91	7	1.1316	2026-07-01	2026-09-23
PREMARKET	time:	time	20						train	10	10	0	0.0359	-0.4073	-1.8025	6	1.762	2026-07-02	2026-07-22
PREMARKET	time:	time	20						holdout	16	16	0	2.3118	-0.0996	-1.1527	8	0.6669	2026-07-28	2026-09-23
PREMARKET	time:	time	20						all	26	26	0	1.4365	-0.2747	-1.6978	14	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=1,target=0.5	threshold	20	1	0.5				train	10	9	0	1.6493	1.0835	0.4466	1	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=1,target=0.5	threshold	20	1	0.5				holdout	16	13	0	1.1912	0.7404	-0.5861	3	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=1,target=0.5	threshold	20	1	0.5				all	26	22	0	1.3674	0.8219	-0.5084	4	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=1,target=1	threshold	20	1	1.0				train	10	7	0	1.299	1.516	-1.8025	3	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=1,target=1	threshold	20	1	1.0				holdout	16	10	0	1.078	1.1491	-1.0427	5	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=1,target=1	threshold	20	1	1.0				all	26	17	0	1.163	1.3886	-1.5908	8	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=1,target=1.5	threshold	20	1	1.5				train	10	5	0	0.9709	1.3441	-1.8025	4	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=1,target=1.5	threshold	20	1	1.5				holdout	16	9	0	1.1581	1.9613	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=1,target=1.5	threshold	20	1	1.5				all	26	14	0	1.0861	1.7924	-1.6978	10	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=1,target=2	threshold	20	1	2.0				train	10	4	0	0.8607	0.2722	-1.8025	5	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=1,target=2	threshold	20	1	2.0				holdout	16	9	0	1.2048	2.2644	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=1,target=2	threshold	20	1	2.0				all	26	13	0	1.0724	1.513	-1.6978	11	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=3,target=0.5	threshold	20	3	0.5				train	10	9	0	1.4719	0.7993	0.5229	1	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=3,target=0.5	threshold	20	3	0.5				holdout	16	12	0	1.1813	0.7404	-0.5861	3	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=3,target=0.5	threshold	20	3	0.5				all	26	21	0	1.293	0.7754	-0.5084	4	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=3,target=1	threshold	20	3	1.0				train	10	5	0	0.6937	0.2233	-1.8025	5	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=3,target=1	threshold	20	3	1.0				holdout	16	10	0	1.1553	1.199	-1.0427	5	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=3,target=1	threshold	20	3	1.0				all	26	15	0	0.9778	1.0852	-1.6978	10	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=3,target=1.5	threshold	20	3	1.5				train	10	4	0	0.6859	0.1842	-1.8025	5	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=3,target=1.5	threshold	20	3	1.5				holdout	16	9	0	1.3881	1.9613	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=3,target=1.5	threshold	20	3	1.5				all	26	13	0	1.118	1.3121	-1.6978	11	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=3,target=2	threshold	20	3	2.0				train	10	3	0	0.5062	-0.4073	-1.8025	6	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=3,target=2	threshold	20	3	2.0				holdout	16	9	0	1.4348	2.2644	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=3,target=2	threshold	20	3	2.0				all	26	12	0	1.0776	0.4473	-1.6978	12	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=5,target=0.5	threshold	20	5	0.5				train	10	9	0	1.5707	0.6827	0.4466	1	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=5,target=0.5	threshold	20	5	0.5				holdout	16	11	0	1.4822	1.0393	-1.0427	4	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=5,target=0.5	threshold	20	5	0.5				all	26	20	0	1.5162	0.721	-0.5861	5	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=5,target=1	threshold	20	5	1.0				train	10	5	0	0.7498	0.2233	-1.8025	5	1.762	2026-07-02	2026-07-22
