action_block_r	action_enter_r	action_recheck_r	association_status	end_return_10m_n	end_return_10m_r	end_return_1m_n	end_return_1m_r	end_return_20m_n	end_return_20m_r	end_return_30m_n	end_return_30m_r	end_return_3m_n	end_return_3m_r	end_return_5m_n	end_return_5m_r	end_return_60m_n	end_return_60m_r	entry_target_n	entry_target_proxy_r	family	field	field_role	missing_pct	n_present	nonentry_avoidance_n	nonentry_avoidance_proxy_r	outcome_n	outcome_target_first_r	type	unique	values
-0.05858	0.00886	0.05694	computed_or_insufficient	3078	-0.07204	3059	0.03033	1368	-0.02494	1064	0.0463	2718	0.01746	2477	-0.04708	623	0.1386	39	0.19669	label_context	label_context.reference_price	outcome_reference_context	0.0	3078	3039	-0.03129	3078	0.03422	numeric	1497	"{""max"": 1425000.0, ""median"": 14925.0, ""min"": 1161.0, ""q10"": 3931.0, ""q90"": 77300.0}"
			computed_or_insufficient	3078		3059		1368		1064		2718		2477		623		39		label_context	label_context.reference_price_type	outcome_reference_context	0.0	3078	3039		3078		categorical	1	"{""executable_ask"": 3078}"
			identity_or_clock																	label_context	label_context.scanner_promotion_id	outcome_reference_context	21.38	2420					categorical	619	"{""SCANPROM-000990-1789545261871"": 37, ""SCANPROM-001210-1789530238548"": 37, ""SCANPROM-010170-1789528261893"": 35, ""SCANPROM-017900-1789526255067"": 60, ""SCANPROM-033640-1789513631122"": 67, ""SCANPROM-053800-1789545753856"": 77, ""SCANPROM-126340-1789553214454"": 53, ""SCANPROM-457370-1789553454476"": 39}"
0.03567	0.00472	0.03534	computed_or_insufficient	3078	0.22686	3059	0.10502	1368	0.3145	1064	0.26461	2718	0.15418	2477	0.19796	623	0.13727	39	0.23979	label_context	label_context.session_bucket	outcome_reference_context	0.0	3078	3039	0.16397	3078	0.16105	categorical	3	"{""krx_nxt_aftermarket"": 434, ""krx_regular"": 2387, ""premarket_krx_like"": 257}"
			identity_or_clock																	label_context	label_context.snapshot_id	outcome_reference_context	0.39	3066					categorical	3066	"{""aims-010934143bdf06498168"": 1, ""aims-027798721cb7400fe72b"": 1, ""aims-09537e63c28235bd65f7"": 1, ""aims-4c723d6bde8029e047d0"": 1, ""aims-89a23ad5e09ae8343e72"": 1, ""aims-ac0a75ebb1220a63fdcc"": 1, ""aims-e0f6699924b0e48c5878"": 1, ""aims-efe0e65fd67d6505439b"": 1}"
			identity_or_clock																	label_context	label_context.stock_code	outcome_reference_context	0.0	3078					categorical	215	"{""010170"": 105, ""017900"": 121, ""033640"": 73, ""053800"": 84, ""124500"": 97, ""126340"": 174, ""217590"": 95, ""457370"": 90}"
			no_observed_value																	label_context	label_context.target_pct	outcome_reference_context	100.0	0					categorical	0	{}
			no_observed_value																	label_context	label_context.target_price	outcome_reference_context	100.0	0					categorical	0	{}
-0.02369	-0.03688	0.03271	computed_or_insufficient	2253	-0.00031	2236	0.05674	973	0.13326	755	0.15302	1970	0.03323	1812	0.03822	507	0.00705	30	-0.14378	label_context	label_context.watch_age_sec	outcome_reference_context	26.8	2253	2223	-0.04789	2253	0.04513	numeric	2253	"{""max"": 21725.0135, ""median"": 5752.1775, ""min"": 7.8993, ""q10"": 368.01036, ""q90"": 16802.28148}"
-0.14957	0.06674	0.13512	computed_or_insufficient	3078	0.0876	3059	0.23903	1368	0.15467	1064	0.15938	2718	0.18428	2477	0.14334	623	0.14481	39	0.00945	liquidity_inputs	liquidity_inputs.fillability_score	derived_machine_input	0.0	3078	3039	-0.23869	3078	0.23696	numeric	48	"{""max"": 100.0, ""median"": 50.0, ""min"": 0.0, ""q10"": 20.0, ""q90"": 74.0}"
